FileName,x1,y1,x2,y2,x3,y3,x4,y4,text
img_calligraphy_70001_bg.jpg,72,53,96,53,96,358,72,358,黎沈昨骑托那缝丁聚侮篮海炭
img_calligraphy_70001_bg.jpg,46,53,70,53,70,394,46,394,缩蝇躁劣趋拴局伦绸启杭吭惯蛋仅
img_calligraphy_70001_bg.jpg,20,53,44,53,44,174,20,174,效射市关蝉
img_calligraphy_70002_bg.jpg,20,53,60,53,61,206,21,206,生死与共
img_calligraphy_70003_bg.jpg,20,53,117,53,117,401,20,401,坐廊固雁
img_calligraphy_70004_bg.jpg,20,75,138,75,138,187,20,187,石
img_calligraphy_70004_bg.jpg,131,68,249,68,249,185,131,185,穿
img_calligraphy_70004_bg.jpg,242,61,360,61,360,173,242,173,水
img_calligraphy_70004_bg.jpg,353,53,471,53,471,172,353,172,滴
img_calligraphy_70005_bg.jpg,20,53,130,53,130,172,20,172,宜
img_calligraphy_70005_bg.jpg,130,53,211,53,211,143,130,143,机
img_calligraphy_70005_bg.jpg,211,53,334,53,334,185,211,185,授
img_calligraphy_70005_bg.jpg,334,53,425,53,425,154,334,154,面
img_calligraphy_70006_bg.jpg,20,53,130,53,130,446,20,446,慨然应允
img_calligraphy_70007_bg.jpg,20,53,68,53,68,287,20,287,晚节不保
img_calligraphy_70008_bg.jpg,98,53,119,53,119,397,98,397,琴尊处处可消日车马纷纷自欠闲行
img_calligraphy_70008_bg.jpg,72,53,93,53,93,396,72,396,畦垄如缬纹落日牛羊聚秋风鼓角鸣
img_calligraphy_70008_bg.jpg,46,53,67,53,67,400,46,400,如何汉天子青冢杳含情不必频挥羽
img_calligraphy_70008_bg.jpg,20,53,41,53,41,375,20,375,清风无汗颜早夏清和在晴江沿时
img_calligraphy_70009_bg.jpg,81,53,213,54,216,439,84,438,摔鸬亚蜇
img_calligraphy_70009_bg.jpg,20,140,63,140,64,288,21,288,壬辰昌林谍
img_calligraphy_70010_bg.jpg,374,53,492,53,492,586,374,586,孥鲎挚又迈
img_calligraphy_70010_bg.jpg,197,53,315,53,315,579,197,579,形止蘼拴郛
img_calligraphy_70010_bg.jpg,20,53,144,53,144,478,20,478,祟镡嵌废
img_calligraphy_70011_bg.jpg,20,53,110,53,110,141,20,141,去
img_calligraphy_70011_bg.jpg,110,53,200,53,200,154,110,154,节
img_calligraphy_70011_bg.jpg,200,53,290,53,290,149,200,149,癖
img_calligraphy_70011_bg.jpg,290,53,380,53,380,146,290,146,稔
img_calligraphy_70012_bg.jpg,20,53,85,53,85,288,20,288,进尊贡矍
img_calligraphy_70013_bg.jpg,20,53,82,53,82,291,20,291,尾草窜遇
img_calligraphy_70014_bg.jpg,20,53,136,53,136,491,20,491,鬲薪娘饫
img_calligraphy_70015_bg.jpg,120,53,146,53,146,483,120,483,橘花覆北沼桂树交西荣树栖两鸳鸯
img_calligraphy_70015_bg.jpg,95,53,121,53,121,482,95,482,含春向我鸣锦簇簇南地竹兮北地木
img_calligraphy_70015_bg.jpg,70,53,96,53,96,482,70,482,不比弋阳名浪传叠空三日透山颠念
img_calligraphy_70015_bg.jpg,45,53,71,53,71,456,45,456,季孟忠开侯室意何有闲门为我开
img_calligraphy_70015_bg.jpg,20,54,46,54,46,343,20,343,炉香寒自灭履雪饭初回
