FileName,x1,y1,x2,y2,x3,y3,x4,y4
img_calligraphy_70001_bg.jpg,72,53,96,53,96,358,72,358
img_calligraphy_70001_bg.jpg,46,53,70,53,70,394,46,394
img_calligraphy_70001_bg.jpg,20,53,44,53,44,174,20,174
img_calligraphy_70002_bg.jpg,20,53,60,53,61,206,21,206
img_calligraphy_70003_bg.jpg,20,53,117,53,117,401,20,401
img_calligraphy_70004_bg.jpg,20,75,138,75,138,187,20,187
img_calligraphy_70004_bg.jpg,131,68,249,68,249,185,131,185
img_calligraphy_70004_bg.jpg,242,61,360,61,360,173,242,173
img_calligraphy_70004_bg.jpg,353,53,471,53,471,172,353,172
img_calligraphy_70005_bg.jpg,20,53,130,53,130,172,20,172
img_calligraphy_70005_bg.jpg,130,53,211,53,211,143,130,143
img_calligraphy_70005_bg.jpg,211,53,334,53,334,185,211,185
img_calligraphy_70005_bg.jpg,334,53,425,53,425,154,334,154
img_calligraphy_70006_bg.jpg,20,53,130,53,130,446,20,446
img_calligraphy_70007_bg.jpg,20,53,68,53,68,287,20,287
img_calligraphy_70008_bg.jpg,98,53,119,53,119,397,98,397
img_calligraphy_70008_bg.jpg,72,53,93,53,93,396,72,396
img_calligraphy_70008_bg.jpg,46,53,67,53,67,400,46,400
img_calligraphy_70008_bg.jpg,20,53,41,53,41,375,20,375
img_calligraphy_70009_bg.jpg,81,53,213,54,216,439,84,438
img_calligraphy_70009_bg.jpg,20,140,63,140,64,288,21,288
img_calligraphy_70010_bg.jpg,374,53,492,53,492,586,374,586
img_calligraphy_70010_bg.jpg,197,53,315,53,315,579,197,579
img_calligraphy_70010_bg.jpg,20,53,144,53,144,478,20,478
img_calligraphy_70011_bg.jpg,20,53,110,53,110,141,20,141
img_calligraphy_70011_bg.jpg,110,53,200,53,200,154,110,154
img_calligraphy_70011_bg.jpg,200,53,290,53,290,149,200,149
img_calligraphy_70011_bg.jpg,290,53,380,53,380,146,290,146
img_calligraphy_70012_bg.jpg,20,53,85,53,85,288,20,288
img_calligraphy_70013_bg.jpg,20,53,82,53,82,291,20,291
img_calligraphy_70014_bg.jpg,20,53,136,53,136,491,20,491
img_calligraphy_70015_bg.jpg,120,53,146,53,146,483,120,483
img_calligraphy_70015_bg.jpg,95,53,121,53,121,482,95,482
img_calligraphy_70015_bg.jpg,70,53,96,53,96,482,70,482
img_calligraphy_70015_bg.jpg,45,53,71,53,71,456,45,456
img_calligraphy_70015_bg.jpg,20,54,46,54,46,343,20,343
img_calligraphy_70016_bg.jpg,20,53,79,53,79,285,20,285
img_calligraphy_70017_bg.jpg,20,53,67,53,67,243,20,243
img_calligraphy_70018_bg.jpg,20,54,88,53,92,384,24,386
img_calligraphy_70019_bg.jpg,66,53,143,53,145,395,68,395
img_calligraphy_70019_bg.jpg,20,244,52,244,52,320,20,320
img_calligraphy_70020_bg.jpg,224,358,235,53,270,55,260,358
img_calligraphy_70020_bg.jpg,184,357,195,55,226,55,216,357
img_calligraphy_70020_bg.jpg,143,361,155,55,186,56,175,361
img_calligraphy_70020_bg.jpg,102,363,114,55,146,56,134,364
img_calligraphy_70020_bg.jpg,66,273,74,56,106,56,98,273
img_calligraphy_70020_bg.jpg,21,103,58,103,57,260,20,260
img_calligraphy_70021_bg.jpg,244,53,318,53,318,650,244,650
img_calligraphy_70021_bg.jpg,138,53,210,53,210,650,138,650
img_calligraphy_70021_bg.jpg,20,247,51,247,51,323,20,323
img_calligraphy_70022_bg.jpg,20,53,92,53,92,391,20,391
img_calligraphy_70023_bg.jpg,148,62,202,62,202,491,148,491
img_calligraphy_70023_bg.jpg,104,58,154,58,154,491,104,491
img_calligraphy_70023_bg.jpg,60,53,106,53,106,490,60,490
img_calligraphy_70023_bg.jpg,20,58,59,58,59,355,20,355
img_calligraphy_70024_bg.jpg,20,53,94,53,94,133,20,133
img_calligraphy_70024_bg.jpg,94,53,168,53,168,135,94,135
img_calligraphy_70024_bg.jpg,168,53,242,53,242,132,168,132
img_calligraphy_70024_bg.jpg,242,53,316,53,316,136,242,136
img_calligraphy_70025_bg.jpg,20,53,54,53,54,93,20,93
img_calligraphy_70025_bg.jpg,54,53,119,53,119,122,54,122
img_calligraphy_70025_bg.jpg,119,53,171,53,171,112,119,112
img_calligraphy_70025_bg.jpg,171,53,236,53,236,119,171,119
img_calligraphy_70026_bg.jpg,20,53,67,53,67,249,20,249
img_calligraphy_70027_bg.jpg,79,392,80,74,179,74,179,392
img_calligraphy_70027_bg.jpg,20,53,60,53,60,174,20,174
img_calligraphy_70028_bg.jpg,129,54,202,54,205,378,132,378
img_calligraphy_70028_bg.jpg,20,53,98,54,101,424,23,423
img_calligraphy_70029_bg.jpg,163,53,188,53,189,438,164,438
img_calligraphy_70029_bg.jpg,136,53,161,53,162,441,137,441
img_calligraphy_70029_bg.jpg,109,53,134,53,135,444,110,444
img_calligraphy_70029_bg.jpg,82,53,107,53,108,408,83,408
img_calligraphy_70029_bg.jpg,55,53,80,53,81,314,56,314
img_calligraphy_70029_bg.jpg,20,328,50,328,50,391,20,391
img_calligraphy_70030_bg.jpg,54,76,124,76,125,234,55,235
img_calligraphy_70030_bg.jpg,20,53,53,53,54,103,20,103
img_calligraphy_70031_bg.jpg,321,53,422,53,422,398,321,398
img_calligraphy_70031_bg.jpg,221,56,299,56,299,429,221,429
img_calligraphy_70031_bg.jpg,121,58,216,58,216,554,121,554
img_calligraphy_70031_bg.jpg,20,61,103,61,103,580,20,580
img_calligraphy_70032_bg.jpg,20,53,129,53,129,162,20,162
img_calligraphy_70032_bg.jpg,129,53,238,53,238,172,129,172
img_calligraphy_70032_bg.jpg,238,53,347,53,347,164,238,164
img_calligraphy_70032_bg.jpg,347,53,456,53,456,160,347,160
img_calligraphy_70033_bg.jpg,47,53,73,53,76,441,50,441
img_calligraphy_70033_bg.jpg,20,53,45,53,49,464,24,464
img_calligraphy_70034_bg.jpg,66,54,89,53,91,455,68,455
img_calligraphy_70034_bg.jpg,43,54,65,54,67,455,45,455
img_calligraphy_70034_bg.jpg,20,54,42,54,44,325,22,325
img_calligraphy_70035_bg.jpg,87,53,107,53,101,376,81,376
img_calligraphy_70035_bg.jpg,65,53,85,53,79,375,59,375
img_calligraphy_70035_bg.jpg,43,53,63,53,58,332,38,332
